"filename", "language", "JSON", "HTML", "Properties", "Markdown", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\noticeRelated\AddNotice.js", "JavaScript", 0, 0, 0, 0, 70, 0, 0, 0, 11, 81
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\noticeRelated\ShowNotices.js", "JavaScript", 0, 0, 0, 0, 91, 0, 0, 0, 11, 102
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\AddStudent.js", "JavaScript", 0, 0, 0, 0, 125, 0, 0, 0, 17, 142
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\SeeComplains.js", "JavaScript", 0, 0, 0, 0, 64, 0, 0, 1, 8, 73
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\ShowStudents.js", "JavaScript", 0, 0, 0, 0, 178, 0, 0, 16, 22, 216
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\StudentAttendance.js", "JavaScript", 0, 0, 0, 0, 185, 0, 0, 0, 13, 198
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\StudentExamMarks.js", "JavaScript", 0, 0, 0, 0, 171, 0, 0, 2, 11, 184
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\StudentProgressMarks.js", "JavaScript", 0, 0, 0, 0, 176, 0, 0, 2, 13, 191
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\ViewStudent.js", "JavaScript", 0, 0, 0, 0, 363, 0, 0, 63, 34, 460
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\subjectRelated\ShowSubjects.js", "JavaScript", 0, 0, 0, 0, 98, 0, 0, 4, 13, 115
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\subjectRelated\SubjectForm.js", "JavaScript", 0, 0, 0, 0, 167, 0, 0, 0, 16, 183
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\subjectRelated\ViewSubject.js", "JavaScript", 0, 0, 0, 0, 182, 0, 0, 10, 21, 213
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\AddTeacher.js", "JavaScript", 0, 0, 0, 0, 91, 0, 0, 0, 15, 106
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\ChooseClass.js", "JavaScript", 0, 0, 0, 0, 72, 0, 0, 0, 10, 82
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\ChooseSubject.js", "JavaScript", 0, 0, 0, 0, 99, 0, 0, 0, 8, 107
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\ShowTeachers.js", "JavaScript", 0, 0, 0, 0, 153, 0, 0, 3, 13, 169
