"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisSixth.js", "JavaScript", 99, 0, 0, 70, 42, 211
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Anlysis\QuizAnalysisThird.js", "JavaScript", 85, 0, 0, 19, 32, 136
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Media\Tutorial.css", "CSS", 0, 33, 0, 0, 5, 38
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Media\Tutorial.js", "JavaScript", 45, 0, 0, 1, 9, 55
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Media\UploadForm.js", "JavaScript", 58, 0, 0, 1, 9, 68
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Media\UploadsList.js", "JavaScript", 109, 0, 0, 15, 30, 154
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Data.js", "JavaScript", 66, 0, 0, 0, 8, 74
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Front.css", "CSS", 0, 45, 0, 0, 10, 55
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Front.js", "JavaScript", 37, 0, 0, 16, 14, 67
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Helper.js", "JavaScript", 25, 0, 0, 5, 7, 37
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Hooks\FetchQuestion.js", "JavaScript", 59, 0, 0, 42, 12, 113
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Hooks\setResult.js", "JavaScript", 31, 0, 0, 14, 9, 54
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Question.css", "CSS", 0, 80, 0, 0, 24, 104
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Question.js", "JavaScript", 84, 0, 0, 37, 35, 156
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Quiz.js", "JavaScript", 56, 0, 0, 33, 24, 113
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\QuizCard.css", "CSS", 0, 3, 0, 0, 0, 3
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\QuizCard.js", "JavaScript", 80, 0, 0, 11, 16, 107
"c:\Users\User\Desktop\projects\MERN-School-Management-System\frontend\src\pages\student\Quiz\Result.css", "CSS", 0, 40, 0, 0, 9, 49
